"cluster","month","day","ave_occupancy","predicted"
4,4,17,0.444351830226578,0.398408958586762
4,4,18,0.426567027921136,0.396350222641623
4,4,19,0.461227429661688,0.46715699917982
4,4,20,0.534595591298605,0.490536873931167
4,4,22,0.404582554838929,0.350370580987668
4,4,23,0.426071038754739,0.395771269653739
4,4,24,0.427394839542442,0.398408958586762
4,4,25,0.415657471117484,0.396350222641623
4,4,26,0.498193719120473,0.46715699917982
4,4,27,0.519624950025276,0.490536873931167
4,4,29,0.402209544539182,0.350370580987668
4,4,30,0.407044489347435,0.395771269653739
4,5,1,0.482496989162352,0.398408958586762
4,5,2,0.420642221733379,0.396350222641623
4,5,3,0.48477422350468,0.46715699917982
4,5,4,0.516126154114009,0.490536873931167
4,5,6,0.417108485200456,0.350370580987668
4,5,7,0.430834765144867,0.395771269653739
4,5,8,0.44975353459758,0.398408958586762
4,5,9,0.495201555073728,0.396350222641623
4,5,10,0.468662832184737,0.46715699917982
4,5,11,0.481118243899619,0.490536873931167
4,5,13,0.379926879974088,0.350370580987668
4,5,14,0.397380892952019,0.395771269653739
4,5,15,0.453772328776917,0.398408958586762
4,5,16,0.426450333923508,0.396350222641623
4,5,17,0.470874462784764,0.46715699917982
4,5,18,0.460257493092596,0.490536873931167
4,5,20,0.389438255083418,0.350370580987668
4,5,21,0.381789799440322,0.395771269653739
4,5,22,0.432772005324384,0.398408958586762
4,5,23,0.417534321900441,0.396350222641623
4,5,24,0.458542715318554,0.46715699917982
4,5,25,0.448568984714378,0.490536873931167
4,5,27,0,0.350370580987668
4,5,28,0.384718202483612,0.395771269653739
4,5,29,0.404460175031467,0.398408958586762
4,5,30,0.438394399638656,0.396350222641623
4,5,31,0.466728024283987,0.46715699917982
4,6,1,0.503099298338176,0.490536873931167
4,6,3,0.405330678386128,0.350370580987668
4,6,4,0.447993141211525,0.395771269653739
4,6,5,0.422747197337987,0.398408958586762
4,6,6,0.411353583745191,0.396350222641623
4,6,7,0.480945504747455,0.46715699917982
4,6,8,0.453506345633867,0.490536873931167
4,6,10,0.376049335638931,0.350370580987668
4,6,11,0.423309662265295,0.395771269653739
4,6,12,0.384603586554601,0.398408958586762
4,6,13,0.385038195728839,0.396350222641623
4,6,14,0.448812684022349,0.46715699917982
4,6,15,0.465547172416648,0.490536873931167
4,6,17,0.373905187870967,0.350370580987668
4,6,18,0.397282057244005,0.395771269653739
4,6,19,0,0.398408958586762
4,6,20,0.440670753317495,0.396350222641623
4,6,21,0.423566434816121,0.46715699917982
4,6,22,0.378350483007887,0.490536873931167
4,6,24,0.335760713824044,0.350370580987668
4,6,25,0.31517377736215,0.395771269653739
4,6,26,0.344732287443063,0.398408958586762
4,6,27,0.406725128961158,0.396350222641623
4,6,28,0.420834481901674,0.46715699917982
4,6,29,0.376551221703241,0.490536873931167
4,7,1,0.349277452907467,0.350370580987668
4,7,2,0.333867967982202,0.395771269653739
4,7,3,0.424194746499145,0.398408958586762
4,7,4,0,0.396350222641623
4,7,5,0.461298424637428,0.46715699917982
4,7,6,0.420433025306054,0.490536873931167
4,7,8,0.386265754708454,0.350370580987668
4,7,9,0.367642834503431,0.395771269653739
4,7,10,0.387264124326464,0.398408958586762
4,7,11,0.419685615242756,0.396350222641623
4,7,12,0.459449491206452,0.46715699917982
4,7,13,0.46098368710846,0.490536873931167
4,7,15,0.398400622452887,0.350370580987668
4,7,16,0.400896615624944,0.395771269653739
4,7,17,0.433603098636327,0.398408958586762
4,7,18,0.436352629976247,0.396350222641623
4,7,19,0.45411821081165,0.46715699917982
4,7,20,0.506266563927586,0.490536873931167
